quelle,labela,labelb1,labelc1,labelb2,labelc2,labelb3,labelc3,labelb4,labelc4,labelb5,labelc5,labeld,inhalt,index_binar
dummy0,N,N,N,N,N,N,N,N,N,N,N,N,hinter mir dunkel und vor mir klar dass niemand sehe wohin ich fahr es sah es auch niemand wohin sie fuhr aber der prinz war ueber das schnelle verschwinden seiner schoenen taenzerin sehr unruhig und da auf alle seine fragen wer sie gewesen und woher sie sei niemand auskunft geben konnte so verbrachte er die nacht in grosser unruhe die sich am morgen in einen schrecklichen missmut und in die ueble stimmung verwandelte von der selbst prinzen bisweilen befallen werden koennen,0
dummy0,N,N,N,N,N,N,N,N,N,N,N,N,der koch brachte des prinzen stiefeln in die kueche und klagte ueber dessen misslaune indem er die stiefeln aschenpuester zum putzen und wichsen uebergab sie uebernahm diese arbeit und wichste die stiefeln so schoen dass der kater sich mit wohlgefallen darin spiegelte und seinem ich im spiegel einen kuss gab davon verschwand an der stelle wo der kater sich gekuesst der glanz,0
dummy0,N,N,N,N,N,N,N,N,N,N,N,N,als aschenpuester nun in ihrer knabengestalt und im kraehenpelze in des prinzen zimmer trat und die stiefeln hineinstellte sah der prinz gleich den matten fleck nahm den stiefel warf ihn ihr an den kopf und schrie du bengel von aschenpuester wirst du wohl besser stiefeln putzen lernen ,0
dummy0,N,N,N,N,N,N,N,N,N,N,N,N,aschenpuester hob den stiefel auf und machte ihn wieder durchweg glaenzend und schwieg,0
dummy0,N,N,N,N,N,N,N,N,N,N,N,N,abends fuhr der prinz abermals zum tanze und aschenpuester erbat noch einmal urlaub da aschenpuester am vorigen abende bald wieder gekommen und nicht ueber die zeit ausgeblieben war wie manches dienstgesinde gerne tut so gewaehrte der koch wiederum die bitte  und nun ging aschenpuester zu ihrem schrein und kaemmerlein in der eiche und tat das goldene kleid an schuf sich mit der wuenschelgerte einen neuen wagen neue rosse neue bedienung und fuhr zum schlosse hinueber dort war bereits der prinz aber verstimmt alles fehlte weil sie fehlte da trat sie ein strahlend wie eine koenigin er eilte auf sie zu und fuehrte sie zum tanze o wie gluecklich machte ihn ihr holdes laecheln ihr sinniges gespraech ihre heitere schelmische neckelust viel hatte er heute zu fragen unter andern wo sie her sei lachend antwortete aschenpuester aus,0
dummy0,N,N,N,N,N,N,N,N,N,N,N,N,stiefelschmeiss eine kurze stunde weilte aschenpuester beim tanze  mit einem male war sie aus dem saale verschwunden rasch sass sie wieder in ihrem wagen und sprach ihr zauberwort,0
dummy0,N,N,N,N,N,N,N,N,N,N,N,N,hinter mir dunkel und vor mir klar dass niemand sehe wohin ich fahr,0
dummy0,N,N,N,N,N,N,N,N,N,N,N,N,des prinzen blick suchte vergebens die geliebte gestalt nach ihr fragend wandte er sich an diesen und jenen der hochzeitgaeste niemand kannte sie er fragte seinen geheimen rat der mit ihm als sein begleiter gekommen war sagen sie mir doch mein lieber geheimerat wo liegt der ort oder das schloss stiefelschmeiss ,0
dummy0,N,N,N,N,N,N,N,N,N,N,N,N, der geheimerat machte eine tiefe verbeugung und antwortete durchlauchtigster prinz hoechstdieselben geruhen stiefelschmeiss  o ja das liegt  das liegt  in  in  fatal nun faellt es mir im augenblicke nicht ein wo es liegt sollte es wirklich einen ort oder ein schloss dieses seltsamen namens geben wo sollte selbiges liegen eure durchlaucht,0
dummy0,N,N,N,N,N,N,N,N,N,N,N,N,der prinz drehte dem sprecher den ruecken zu und murmelte aergerlich durch die zaehne ich lasse diesem geheimerat jaehrlich dreitausend taler gehalt auszahlen und nun weiss er nicht einmal wo stiefelschmeiss liegt  es ist schauderhaft ,0
dummy0,N,N,N,N,N,N,N,N,N,N,N,N,daraus erklaerte sich von selbst dass als die morgenroete des naechsten tages rosig emporstieg die laune des prinzen dennoch keine rosenfarbene war er hatte keine ruhe wollte frueh schon ausgehen zog seinen rock an den aschenpuester rein gebuerstet hatte entdeckte darauf einige staeubchen rief nach einer buerste und stampfte mit dem fusse eilend lief aschenpuester im kraehenpelze mit der buerste herbei der prinz war aber so schrecklich boese dass er ihr die buerste aus der hand riss sie ihr an den kopf warf und ihr zuschrie sie solle ein anderesmal gleich besser buersten,0
dummy0,N,N,N,N,N,N,N,N,N,N,N,N,am letzten abende des nachbarlichen hochzeitfestes lief wieder alles hinueber zum schlosse und auch der prinz fuhr wieder hin da bat aschenpuester zum drittenmal um erlaubnis auch zusehen zu duerfen darueber schuettelte der koch sehr den kopf dass der junge so neugierig sei doch dachte er jugend hat nicht tugend und sagte es ist heute das letztemal laufe hin,0
dummy0,N,N,N,N,N,N,N,N,N,N,N,N,aschenpuester lief geschwinde in den park in die eiche zog das demantkleid an zauberte sich wieder rosse und wagen kutscher und lakaien und er schien wie ein lebendiger schoenheitsstrahl beim feste der prinz tanzte vor allem mit ihr und nur mit ihr und fragte sie zaertlich wie sie denn heisse aschenpuester laechelte schelmisch und antwortete cinerosa buerstankopf den vornamen der auf rosa ausging fand der prinz zumal er kein latein verstand sehr schoen den zunamen aber befremdlich  er hatte diese gewiss reiche und angesehene familie noch nie nennen hoeren doch sprach der von liebe bezwungen indem er ihr seinen ring an einen finger schob wer du auch sein magst schoenste cinerosa mit diesem ringe verlobe ich mich dir  mit hoher schamroete auf den wangen blickte aschenpuester zur erde und zitterte gleich darauf entfernte sie sich als der prinz nur einen augenblick seine augen anderswohin wandte schnell sass sie im wagen aber der prinz hatte soeben befehl gegeben den seinen dicht hinter dem ihren aufzufahren damit er ihr folgen koenne aschenpuester schwang ihre wuenschelgerte und sprach,0
dummy0,N,N,N,N,N,N,N,N,N,N,N,N,hinter mir dunkel und vor mir klar dass niemand sehe wohin ich fahr,0
dummy0,N,N,N,N,N,N,N,N,N,N,N,N,und da rollte sie hin  rasch sass jetzt auch der prinz in seinem wagen und rollte ihr nach aber da war ihr wagen nicht mehr zu sehen gleichwohl hoerte man dessen raeder rollen und so folgte der wagenlenker des prinzen diesem schall der tanz hatte diesesmal am laengsten gedauert schon zog der fruehe morgen daemmernd heran die stunde war bereits da in der die kuechenarbeit begann aschenpuester zauberte schnell ihren wagen und ihre bedienung fort und hatte nicht zeit sich erst umzukleiden sie verbarg daher eiligst ihr demantkleid unter dem kraehenpelze und eilte in die kueche der prinz aber welcher dem wagen des herrlichen maedchens nachgefahren war sah sich mit verwunderung dicht vor seinem eigenen schlosse und wusste nicht wie ihm geschah war daher wieder sehr missmutig und dazu sehr unmustern und uebernaechtig,0
dummy0,N,N,N,N,N,N,N,N,N,N,N,N,unser prinz ist gar nicht wohl auf sagte zu aschenpuester der koch er muss ein kraftsuepplein haben oder eine chocolade  zuende rasch feuer an  der morgenimbiss wurde schnell bereitet aschenpuester warf des prinzen ring hinein der koch trug die tasse auf der prinz trank und fand am boden mit erstaunen seinen ring und fragte hastig wer war so frueh schon in der kueche,0
dummy0,N,N,N,N,N,N,N,N,N,N,N,N,euer durchlaucht niemand als ich und der aschenpuester  antwortete der koch,0
dummy0,N,N,N,N,N,N,N,N,N,N,N,N,schicke mir diesen burschen gleich einmal herein gebot der prinz und als aschenpuester kam sah ihn der prinz ganz scharf an aber der kraehenpelz verhuellte alle schoenheit,0
dummy0,N,N,N,N,N,N,N,N,N,N,N,N,komme her tritt naeher aschenpuester gebot der prinz komm kaemme mich mein friseur liegt noch in den federn,0
dummy0,N,N,N,N,N,N,N,N,N,N,N,N,aschenpuester gehorchte sie trat ganz nahe an den prinzen heran und straehlte ihm mit elfenbeinernem kamme das volle weiche haar der prinz befuehlte den kraehenpelz derselbe war an einigen stellen abgetragen daher etwas muerb und fadenscheinig und durch die abgeschabten faeden blitzte es so funkelklar wie morgentau das war der demantglanz des prachtgewandes das aschenpuester noch unter ihrem kraehenpelze trug,0
dummy0,N,N,N,N,N,N,N,N,N,N,N,N,jetzt kenne ich dich o liebe rief voll unaussprechlicher freude der prinz jetzt bist du mein jetzt bin ich dein auf ewig und schloss die braut in die arme und kuesste sie,0
dummy0,N,N,N,N,N,N,N,N,N,N,N,N,kurz vor der hochzeit bat die schoene braut sich von ihrem geliebten braeutigam noch eine gnade aus der gute koch der aschenpuester so wohlwollend aufgenommen und so freundlich und guetig sie behandelt hatte empfing von dem prinzen den ritterschlag und wurde zum erbtruchsess erhoben das war ihm recht da brauchte er das essen nicht mehr zu kochen wie sonst sondern konnte es an der fuerstlichen tafel in aller ruhe selbst mit verzehren helfen und als die hochzeit prachtvoll gefeiert wurde da trug er im vollen glanze seiner neuen wuerde geschmueckt mit stern und orden dem prinzlichen paare mit eigener hand die speisen auf,0
dummy1,N,N,N,N,N,N,N,N,N,N,N,N,einst lebte ein einzelner alter herr in einem uralten hause bei dem blieb selten ein gesinde lange und alle die dienstboten die er gehabt erzaehlten es sei nicht recht geheuer in dem hause man hoere gespenster rumoren sehe flaemmchen an dunkeln orten und werde auch auf sonstige weise von spukdingern geschreckt nun geschah es dass bei diesem herrn abermals eine neue magd anzog welche anna hiess und nach der ersten nacht fragte der herr die dienerin wie sie geschlafen habe denn er besorgte sich schon wieder klage ueber geisterspuk im hause zu vernehmen die muntere dirne aber antwortete ihm sie habe ganz gut geschlafen eine gleiche antwort auf die gleiche frage erfolgte auch am zweiten morgen am dritten morgen aber verschlief sich die magd war denn verlegen und sagte,0
dummy1,N,N,N,N,N,N,N,N,N,N,N,N,mir war die ganze nacht als tanze um mein bette herum ein blaeuliches lichtlein und das fluesterte fort und fort geh ann geh ann so dass ich nicht eher einschlafen konnte als gegen morgen beim ersten hahnschrei,0
dummy1,N,N,N,N,N,N,N,N,N,N,N,N,wie nun einige naechte hintereinander diese beunruhigung fortdauerte so zeigte das maedchen neigung den neuangetretenen dienst wieder zu verlassen das war dem herrn leid und er sagte zu der anna weisst du was anna sprich doch einmal mit dem herrn pfarrer darueber vielleicht kann dieser dir einen guten rat erteilen ,0
dummy1,N,N,N,N,N,N,N,N,N,N,N,N,der geistliche sagte nun zur anna als diese ihn fragte,0
dummy1,N,N,N,N,N,N,N,N,N,N,N,N,wenn das blaue licht ein geist ist und dich ruft so ziehe dich schnell an und folge ihm sei aber dabei sorglich auf deiner hut dass du nichts von ihm annimmst nichts ergreifst was er dir bietet nichts tust was er dir heisst und dass er dir stets voran gehe tust du genau nach diesem rate so kann es dein glueck sein,0
dummy1,N,N,N,N,N,N,N,N,N,N,N,N,abends war die dirne kaum ins bette so tanzte das blaue flaemmchen wieder um dasselbe herum und fluesterte wieder geh ann geh ann wenn es denn sein muss sagte anna indem sie aus dem bette und rasch in die kleider fuhr so gehen wir,0
dummy1,N,N,N,N,N,N,N,N,N,N,N,N,geh ann fluesterte das flaemmchen geh du voran sprach anna und da flackerte das flaemmchen vor ihr her ueber einen gang die treppe hinunter bis vor die kellertuere dort fluesterte das flaemmchen wieder schliess auf ann ,0
dummy1,N,N,N,N,N,N,N,N,N,N,N,N,schliess du auf sagte anna ich habe keinen schluessel,0
dummy1,N,N,N,N,N,N,N,N,N,N,N,N,da schien das flaemmchen die gestalt eines kleinen weissen weibleins zu gewinnen das hauchte gegen das schluesselloch und da ging die kellertuere auf jetzt schwebte die blaeulich schimmernde gestalt die kellertreppe hinunter vor anna her nach des kellers hinterster ecke dort lehnte eine hacke an der mauer und das weibchen dessen blaeulicher lichtschimmer den keller leidlich hell machte deutete auf das werkzeug und fluesterte hacke hier ein loch ann  hacke du ein loch sprach anna ich brauche keins und da ergriff das weiblein wirklich die hacke und arbeitete tuechtig darauf los nach kurzer weile kam ein kesselchen zum vorschein darinnen lagen allerhand schoene sachen alte goldmuenzen und schmuck von guten perlen und edelsteinen heb ann heb heraus ann fluesterte der geist aber anna sprach ganz ruhig hebe du heraus ich koennte mir schaden tun da hob auch das weiblein das kesselchen aus dem boden und setzte es vor anna hin dass es klang und klirrte das viele gold und silber welches darinnen lag,0
dummy1,N,N,N,N,N,N,N,N,N,N,N,N,trags hnauf ann in deine kammer fluesterte das frauchen  doch anna sagte trags selber hnauf mir ists zu schwer da hob das weiblein das kesselchen und fluesterte wieder geh ann geh ann  und anna erwiderte geht nicht an der leuchter geht voran so ging denn auch das weiblein wieder aufwaerts voran aber langsam denn es trug schwer an dem kesselchen und aechzte und stoehnte alle die treppen hinauf bis in annas bettkammer da setzte es das kesselchen hin und anna legte sich wieder in ihr bette und um das bette tanzte wieder das blaeuliche licht da schlug anna ein kreuz und sprach hast du mir geholfen so helfe dir gott vater gott sohn gott heiliger geist in das ewige himmelreich amen,0
dummy1,N,N,N,N,N,N,N,N,N,N,N,N,da stand noch einmal das weisse weiblein in klarer gestalt vor anna und sein gesicht leuchtete im schimmer reinster freude  dann verschwand es ploetzlich anna schlief ruhig ein und als sie am morgen erwachte glaubte sie es habe sie das alles nur getraeumt aber siehe da  das kesselchen war noch vorhanden und ein ansehnlicher schatz war ihr beschert nie spukte wieder ein geist im hause des alten herrn,0
dummy2,N,N,N,N,N,N,N,N,N,N,N,N,es waren einmal drei schwestern die auf dem lande lebten von denen war die eine namens hannele hannchen sehr geschickt die zweite schwester aber war unklug und die dritte war noch ein ganz kleines kind die kluge schwester war in die schule gegangen und hatte mancherlei gelernt die unkluge war zwar auch in die schule gegangen hatte aber nichts gelernt und es war ihr nichts einzutrichtern gewesen daher nahm die kluge da die eltern nicht mehr lebten sich des kleinen hauswesens an kochte und wusch und die unkluge musste ihr dienste leisten aufwaschen scheuern holz spalten gaenge tun das kind tragen und in allem aschenbroedel sein aber ohne aussicht eine prinzessin zu werden,0
dummy2,N,N,N,N,N,N,N,N,N,N,N,N,eines tages schickte die kluge schwester die unkluge nach der nahen stadt und gab ihr geld mit um brot zu kaufen nun war in der stadt just jahrmarkt und die unkluge maid hatte noch nie einen jahrmarkt besucht wandelte daher mit offenem munde und gaffenden augen zwischen allen den buden voll jahrmarktsherrlichkeiten umher und da kam sie an einen stand der war eitel voll und uebervoll von puppen und pueppchen und dockenkoepfen und baelgen immer eine puppe schoener wie die andere ach da haette das maegdlein gar zu gern ein paar oder wenigstens nur eins von den pueppchen gehabt und da rief die verkaeuferin ganz freundlich nun mein liebes schoenes kind kommen sie naeher nehmen sie sich ein pueppchen suchen sie sich das schoenste heraus ,0
dummy2,N,N,N,N,N,N,N,N,N,N,N,N,das heiss ich eine gute frau dachte die unkluge dass sie mir eins zu nehmen erlaubt und nahm sich gar ein schoenes doeckchen dankte und wollte davon gehen aber da hielt die verkaeuferin sie am rocke fest und rief na was ist denn das das waere mir so haben wir nicht gewettet mein sauberes jungferchen man bezahlt auch wenn man kauft oder ist sie etwa eine weisskaeuferin die findet wo niemand was verloren hat geld heraus oder ich rufe die polizei ,0
dummy2,N,N,N,N,N,N,N,N,N,N,N,N,ueber diese harte rede erschrak das unkluge maedchen mehr als es jemals in seinem ganzen leben erschrocken war und gab vor schreck alles geld hin fuer welches sie doch brot kaufen sollte und die dockenverkaeuferin nahm das geld und schrie he der bettel langt noch lange nicht und riss dem armen mammele  so wurde die unkluge aus spott gerufen weil sie klein und untersetzt von wuchs war und einem alten mamachen aehnlich sah  die schoene puppe aus der hand und gab ihm eine andere weit geringere die alt und nur ein bisschen wieder frisch aufgeputzt war und schrie nachdem das geld nachdem die ware nachdem der mann nachdem braet man die wurst lauf kleiner balg mach dass du fortkommst sei froh dass du fuer deine paar lumpigen heller noch so eine schoene docke gekriegt hast,0
dummy2,N,N,N,N,N,N,N,N,N,N,N,N,trotz dieser uebeln behandlung von seiten der marktfrau war das arme kleine mammele doch froh dass es ein doeckchen hatte herzte es und kuesste es und nannte es angele das ist engelchen und mein kindchen mein kindchen  aber ach wie das mammele heim kam vom jahrmarkt und statt brotes eine docke brachte da wurde das hannele sehr boese und schlug das arme mammele dass es bitterlich weinen musste und redete den ganzen rest des tages kein wort mehr mit ihm doch behielt das mammele zu seinem trost sein angele und haetschelte es und nahm es mit zu bette legte es neben sich und schlief bald tief und fest ein denn es war muede vom wege muede von schlaegen und matt vom hunger denn das hannele hatte ihm auch noch zur strafe nichts zu essen gegeben neben mammeles bette stand das kleine bettchen der juengsten schwester welche annele annchen hiess und an der wand gegenueber stand hanneles bette,0
dummy2,N,N,N,N,N,N,N,N,N,N,N,N,mitten in der nacht nun  es war heller mondschein erwachte die kluge schwester von einer seltsamen stimme die drueben aus dem bette ihrer schwester kam und lautete,0
dummy2,N,N,N,N,N,N,N,N,N,N,N,N,mamma gacka mamma gacka und hannele merkte dass diese stimme von der kleinen puppe kommen muesse denn ihre schwestern hatte andere stimmen da nun die unkluge schwester fest schlief und nichts hoerte so rief zu dem kleinen kinde hinueber das hannele annele weck einmal das mammele das angele will eine gackele eichen legen,0
dummy2,N,N,N,N,N,N,N,N,N,N,N,N,auf diesen zuruf ermunterte sich das kleine annele und weckte das mammele und das stieg auf und nahm sein angele und setzte es auf ein tassenkoepfchen,0
dummy2,N,N,N,N,N,N,N,N,N,N,N,N,da tat es gleich einen klingenden klang in dem tassenkoepfchen und wie das mammele das angele wieder davon herunter hob so hatte letzteres ein goldenes gackele gelegt das einen dukaten so aehnlich sah wie ein ei dem andern,0
dummy2,N,N,N,N,N,N,N,N,N,N,N,N,da war grosse freude bei den schwestern die kluge wurde wieder ganz gut mit der unklugen und sie kuessten und herzten gemeinschaftlich das gute angele und huellten es in seidene laeppchen und fuer den dukaten kauften sie brot und kuchen zucker und kaffee und allerhand schoene sachen und was die schoenste sache war das war die dass in jeder nacht das annele mamma gacka rief und jede nacht ein goldenes gackele legte da kaufte die kluge schwester nach und nach huebsche kleider und liess das haeuschen darin sie mit ihren geschwistern wohnte neu decken und von aussen neu anstreichen und in wendig liess sie die stube tapezieren und kaufte auch huehner gaense enten und tauben auf den hof und schaffte eine ziege an spaeter auch eine kuh und fuer das annele ein kinderwaegelchen in dem fuhr das mammele das annele spazieren und das annele hatte das mammele auf dem schosse und nebenher lief ein junges laemmchen welches lammele gerufen wurde und am halse an einem roten baendchen ein klingendes schellchen trug da wunderten sich die nachbarsleute dass die schwestern es so gut hatten und sich immer besser betaten und jene konnten nicht begreifen woher und wovon denn obschon die kluge schwester sehr fleissig war so wussten jene doch dass der redliche fleiss nicht hilft zu schnellem reichtum,0
dummy2,N,N,N,N,N,N,N,N,N,N,N,N,nun hatten die schwestern ein ehepaar zu nahen nachbarn das war selbst reich aber gerade dieses paar beneidete die schwestern am allermeisten und mann und frau redeten miteinander ueber sie wenn wir nur in aller welt wuessten woher drueben das hannele und das mammele mit ihrem annele so gar reich werden wo sie nur das geld hernehmen es muss nicht mit rechten dingen zugehen ,0
dummy2,N,N,N,N,N,N,N,N,N,N,N,N,warte mein lieber mann sagte die frau ich will das bald erfahren und herausbekommen ich will das dumme mammele fragen die sagt mir in ihrer einfalt ganz sicher alles ,0
dummy2,N,N,N,N,N,N,N,N,N,N,N,N,als nun bald darauf einmal das mammele sein annele mit dem angele spazieren fuhr und das lammele klingelnd neben her lief da trat ihnen die nachbarsfrau in den weg und sagte ei schoenen guten tag liebes mammelchen wie geht es denn mitsammen was macht denn mein gutes hannelchen das ist gewiss recht fleissig zu hause ach das liebe brave maedchen und das herzallerliebste annelchen da ach das zuckerkind ei  und was es fuer ein schoenes pueppchen da auf dem schosse hat und das schoene lammele wie das springt und das goldige schellchen wie das klingt und das saubere waegelchen so schoen buntig gemalt ja da sieht mans recht was das sprichwort sagt schoene leute haben schoene sachen o ihr herzigen goldkinder ihr,0
dummy2,N,N,N,N,N,N,N,N,N,N,N,N,mit diesem scheinbar so freundlichen und liebreichen geschwaetze betoerte die nachbarsfrau das mammele und es sagte ja wohl frau nachbarin es geht uns ganz leidlich wir sind zufrieden,0
dummy2,N,N,N,N,N,N,N,N,N,N,N,N,freut uns gar zu sehr mich und meinen mann mein liebwertes mammele schmeichelte die frau ihr seid aber auch gar gut zu gut zu brav und verdient dass es euch gut geht denn das sprichwort sagt was der mensch wert ist widerfaehrt ihm wers nur auch so gut haben koennte wie ihr aber das spruechwort sagt den seinen gibts der liebe gott im schlafe ,0
dummy2,N,N,N,N,N,N,N,N,N,N,N,N,freilich frau nachbarin antwortete darauf das unkluge mammele jede nacht gibt es uns der liebe gott jede nacht einen goldenen dukaten ,0
dummy2,N,N,N,N,N,N,N,N,N,N,N,N,ei du meine liebe guete ei herr jehchen ei woher denn du goldiges herzenskind du gar braves liebes gescheites mammele du  rief und schmeichelte die listige nachbarin,0
