""
Anf-a551:F:SELTENEN_Gegenstand_besorgen:rHH_rVB {-27}
a551:F:HEILMITTEL_besorgen:rHH_fHD_x {5}
a551:F:Gutes_Benehmen:rHD_rST {5}
a551:Ff:Wegweisung_mit_ALTERNATIVEN:rZM_fHD {5}
a551:HF:PFÖRTNER_besänftigen:rHD_rHF {5}
a551:HF:HEILMITTEL_erfassen:rHD_rHF {6}
a551:Hh:FEHLENDEN_Gegenstand_erfassen:rAN_fZO {6}
a551:h:Sich_abseilen_LASSEN:rHD_fHD_x {6}
a551:H:Gutes_Benehmen:rHD_rST {6}
a551:f:VERLOCKUNG:fHD_fVB_x {6}
a551:F:Um_einen_Auftrag_WERBEN:rHH_fHD_x {6}
a551:f:VERLOCKUNG:fHD_x {6}
a551:h:SELTENEN_Gegenstand_besorgen:rHH_fHD {7}
a551:h:Auf_VERLOCKUNG_reagieren:fHD_x {7}
a551:Ff:Wegweisung_mit_ALTERNATIVEN:rZM_fHD_x {7}
a551:h:Auf_VERLOCKUNG_reagieren:fHD_fVB_x {7}
a551:H:Sich_abseilen_LASSEN:rHD_fHD {7}
a551:HF:FLUCHT_vorbereiten:rHD_rHF {7}
a551:hf:TABU_Frist_nicht_überziehen:rHD_rHF {7}
a551:HF:Weiterverweisung_an_anderen_Stifter_oder_Helfer:rHD_rST {7}
a551:H:REITTIER_erhalten:rHD_rST {8}
a551:h:FREIHEITSBERAUBUNG:rHH_fHD {8}
a551:H:PFÖRTNER_besänftigen:rHD_rHF {8}
a551:H:HEILMITTEL_erfassen:rHD_rZO {8}
a551:H:HEILMITTEL_erfassen:rHD_rBZ_rZO {8}
a551:F:Um_einen_Auftrag_WERBEN:rHD_rHH {8}
a551:F:HEILMITTEL_besorgen:rHD_rST {8}
a551:h:FREIHEITSBERAUBUNG:fHD_fVB_x {8}
a551:H:Potenziellen_Feind_zum_Gastgeber_gewinnen:rHD_rST_x {8}
a551:Hh:Auf_ALTERNATIVEN_reagieren:rZM_fHD {8}
a551:H:Zauberkunst_erlernen:rHD_rBZ_rZO {9}
a551:Hh:Auf_WERBEN_reagieren:rHD_rHH {9}
a551:H:REITTIER_erhalten:rHD_rST_x {9}
a551:f:VERLOCKUNG:rHD_fVB {9}
a551:h:KONTAKT_abbrechen:rHD_rBZ_rZO {9}
a551:h:Auf_TABU_reagieren:rHD_rZO {9}
a551:Hh:Weiterverweisung_an_anderen_Stifter_oder_Helfer:rHD_rST {9}
a551:H:Sich_oder_Andere_hochziehen_LASSEN:rHD_fHD {9}
a551:H:Beiwohnung_mit_der_Schönen:rHD_rBZ_rZO {9}
a551:F:SELTENEN_Gegenstand_besorgen:rHH_rVB_x {9}
a551:f:Gastfreundlichkeit_VORTÄUSCHEN:rAN_fHD {9}
a551:H:Hilfeversprechen_erhalten:rHD_rST_x {9}
a551:H:BESITZER_DES_OBJEKTES_erfassen:rHD_rBZ_rZO {9}
a551:H:Auf_TABU_reagieren:rHD_rBZ_rZO {9}
a551:HF:Weiterverweisung_an_anderen_Stifter_oder_Helfer:rHD_rST_x {9}
a551:HF:SELTENEN_Gegenstand_erfassen:rHD_rST {9}
a551:H:IDENTITÄT_beweisen:rHD_rHH_rBZ {9}
a551:Hh:ANGST_mit_ANGST_vergelten:rHD_rHF {10}
a551:H:PFÖRTNER_entkommen:rHD_fHF {10}
a551:F:HEILMITTEL_besorgen:rHD_rST_x {10}
a551:Hh:Weiterverweisung_an_anderen_Stifter_oder_Helfer:rHD_rST_rZM {10}
a551:H:KONTAKT_wiederherstellen:rHD_rHH_rBZ {10}
a551:H:Richtiges_auswählen:rHD_rST {10}
a551:H:Auf_dem_Heimweg:rHD_rZO_fHD {10}
a551:HF:HEILMITTEL_erfassen:rHD_rST {10}
a551:F:MARKIERUNGEN_anbringen:rHD_rBZ_rZO {10}
a551:h:Auf_VORTÄUSCHEN_reagieren:rAN_fHD {10}
a551:F:Sorge_um_Freikaufsbedürftige:rHD_fHD {10}
a551:F:Beschaffung_der_AUSRÜSTUNG:rHD_rHH {10}
a551:H:SELTENEN_Gegenstand_erfassen:rHD_rZO {10}
a551:HF:Wegweisung_erhalten:rHD_rHF_rST {10}
a551:H:Auf_VERLOCKUNG_reagieren:rHD_fVB {10}
a551:f:VERFOLGUNG:rHD_rZM_rBZ {10}
a313:H:FLUCHT:rHD_rZM_rBZ {10}
a551:H:Sorge_um_Freikaufsbedürftige:rHD_fHD {11}
a551:H:Flugzeugendes_ZAUBERMITTEL_erhalten:rHD_rST_rZM {11}
a551:H:Universellen_ZAUBERMITTEL_erfassen:rHD_rZO {11}
a551:H:Potenziellen_Feind_zum_Gastgeber_gewinnen:rHD_rST {11}
a551:H:FLUCHT:rHD_rZM_rBZ {11}
a551:h:FREIHEITSBERAUBUNG:rAN_fHD {11}
a551:Hh:Beiwohnung_mit_der_Schönen:rHD_rBZ_rZO {11}
a551:F:Sorge_um_Hilfsbedürftige:rHD_fST {11}
a551:HF:VOGEL_erfassen:rHD_rST {11}
a551:Hh:ANGST_mit_ANGST_vergelten:rHD_rHF_x {11}
a551:H:Richtiges_auswählen:rHD_rBZ_rZO {11}
a551:H:Bestrafung:fHD {11}
a551:Hh:Beschaffung_der_AUSRÜSTUNG:rHD {11}
a551:h:MEINEID_erpressen:fHD {11}
a551:F:Auf_Hilfsquelle_zurückgreifen:rHD_rST_rZM {11}
a551:H:Heiraten:rHD_rHH_rBZ {12}
a551:H:Sorge_um_Hilfsbedürftige:rHD_fST {12}
a551:H:Komplikationsfreier_Flug:rHD_rZM {12}
a551:h:PFÖRTNER_entkommen:rHD_rBZ_fHF {12}
a551:H:REITTIER_erhalten:rHD {12}
a551:hf:TABU_Sonstiges:rHD_rST {12}
a551:H:Universellen_ZAUBERMITTEL_erhalten:rHD_rST_rZM {12}
a551:H:ZAUBERMITTEL_AUSRÜSTUNG_oder_WAFFE_einsetzen:rHD_rZM_rBZ {12}
a551:H:Auf_Hilfsquelle_zurückgreifen:rHD_rST_rZM {12}
a551:h:TÖTUNG:rHD_rZO_fHD {12}
a551:h:SCHLAF:rZO_fHD {12}
a551:H:Hilfeversprechen_erhalten:rHD_rST {12}
End-a551:H:Bestrafung:fHD {12}
a551:H:FLUCHT:rHD_rST {13}
a551:F:Auf_Hilfsquelle_zurückgreifen:rHD_rST_rZM_x {13}
a551:h:ANEIGNUNG:rHD_rZO_fHD {13}
a551:HF:PFÖRTNER_besänftigen:rHD_fST {13}
a551:H:Universellen_ZAUBERMITTEL_erhalten:rHD_rST {13}
a551:Ff:Wegweisung_mit_ALTERNATIVEN:rHD_rZM {13}
a551:h:Wegweisung_erhalten:rHD_rST {13}
a551:H:VERFOLGUNG_entkommen:rHD_rZM_rBZ {13}
a551:h:ZAUBERMITTEL_AUSRÜSTUNG_oder_WAFFE_austauschen:rZO_fHD {13}
a551:H:Flugzeugendes_ZAUBERMITTEL_erhalten:rHD_rST_rZM_x {13}
End-a551:H:Heiraten:rHD_rHH_rBZ {13}
a551:H:VOGEL_erfassen:rHD_rZO {14}
a551:Hh:HEILMITTEL_besorgen:rHD_rHH_fZO {14}
a551:F:VERFOLGUNG_stören:rST_rBZ {14}
a551:H:HEILMITTEL_besorgen:rHH_rZO_fHD {14}
a551:H:HEILMITTEL_besorgen:rZO_fHD {14}
a551:H:Begegnung:rHD_rHF {14}
a551:H:REITTIER_erhalten:rHD_rST_rZM {14}
a551:h:IDENTITÄT_ändern:rHD_rZO_fHD {14}
a551:HF:HEILMITTEL_erfassen:rHD_fST {14}
a551:Hh:Auf_ALTERNATIVEN_reagieren:rHD_rZM {14}
a551:H:Auf_Hilfsquelle_zurückgreifen:rHD_rST_rZM_x {14}
a551:H:Universellen_ZAUBERMITTEL_erhalten:rHD_rST_rZM_x {14}
a551:h:KRANKHEIT_beheben:rHD_rHH_fZO {15}
a551:HF:TABU_Frist_nicht_überziehen:rHD_fST {15}
a551:H:Proviantproduzierenden_ZAUBERMITTEL_erhalten:rHD_rST_rZM {15}
a551:H:KRANKHEIT_beheben:rHH_rZO_fHD {15}
a551:HF:Im_STICH_gelassen_zu_werden_beheben:rHD_rST_rZM {15}
a551:H:KRANKHEIT_beheben:rZO_fHD {15}
a551:F:FLUCHT:rHD_rST {15}
a551:H:WAFFE_oder_ZAUBERMITTEL_erhalten:rHD_rST_rZM {15}
a551:h:VEREINBARUNG_einhalten:rHH_rZO_fHD {16}
a551:f:TODESAUFTRAG:rHD_rHH {16}
a551:f:Sich_ZURÜCKZIEHEN:rHD {16}
a551:Hh:Auf_Warnung_im_STICH_gelassen_zu_werden_reagieren:rHD {16}
a551:H:PFÖRTNER_besänftigen:rHD_fHF {16}
a551:H:VERFOLGUNG_stören:rST_rBZ {16}
a551:h:Sich_ZURÜCKZIEHEN:rHD_rHF {16}
Anf-a551:h:RESPEKTLOSIGKEIT:rHD_fHD {16}
a551:h:RESPEKTLOSIGKEIT:rHD_fHD {17}
a551:F:KONTAKT_wiederherstellen:rHD_rBZ {17}
a551:F:FLUCHT:rHD_rST_x {17}
a551:H:ZAUBERMITTEL_AUSRÜSTUNG_oder_WAFFE_einsetzen:rHD_rZM {17}
a551:Hh:Sorge_um_Freikaufsbedürftige:rHD {17}
a551:H:ZURÜCKZIEHEN_beheben:rHD_rHF_fHD {17}
a780:H:Änderung_der_EXISTENZFORM:rVB_rZM {17}
a551:F:ZURÜCKZIEHEN_beheben:rHD_rBZ {18}
a551:f:TÖTUNG:rZO_fHD {18}
a551:F:KONTAKT_wiederherstellen:rHH_rBZ {18}
a551:H:MARKIERUNGEN_erkennen:rBZ {18}
a551:h:FREIHEITSBERAUBUNG:rHD_rHF_fHD {18}
a551:H:VERFOLGUNG_stören:rST_rBZ_x {18}
a551:HF:Erlösung:rHD_rHF {19}
a551:H:VERFOLGUNG_entkommen:rHD_rBZ {19}
a551:H:Held_erkennen:rHD_rBZ {19}
a551:F:KONTAKT_wiederherstellen:rBZ {19}
a551:h:ANEIGNUNG:rZO_fHD {19}
a551:F:IDENTITÄT_beweisen:rHH_rBZ {19}
a551:h:IDENTITÄT_beweisen:rBZ_fHD_x {20}
a551:H:Heiraten:rHD_rBZ {20}
a551:H:Erlösung:rHD_rHF {20}
a551:h:Sich_ZURÜCKZIEHEN:rHD {20}
a551:F:VERMISSEN_der_Angehörige_beheben:rHD_rAN {20}
a551:F:IDENTITÄT_beweisen:rBZ_fHD {20}
a551:h:IDENTITÄT_beweisen:rBZ_fHD {20}
a551:f:TODESAUFTRAG:rHD_rVB_fHD {20}
a551:F:IDENTITÄT_beweisen:rBZ_fHD_x {21}
a551:H:TODESAUFTRAG_entkommen:rHD_rVB_fHD {21}
a551:H:Bestrafung:rHD_fHD {21}
a551:h:Bestrafung:rBZ_fHD_x {21}
a551:H:SCHWEIGEPFLICHT_beheben:rHD_rVB_fHD {21}
a551:h:Bestrafung:rBZ_fHD {21}
a551:H:TODESAUFTRAG_entkommen:rHD_rHH_rVB {21}
a551:F:WETTKAMPF:rHH_rBZ {21}
a551:f:Gastfreundlichkeit_VORTÄUSCHEN:rHD_rAN {21}
a551:F:MARKIERUNGEN_erkennen:rHH_rVB_rBZ {21}
End-a551:H:Heiraten:rHD_rBZ {21}
a551:F:KONTAKT_wiederherstellen:rHH_rVB_rBZ {22}
a551:H:KRANKHEIT_beheben:rHD_rHH_rZO {22}
a551:H:IDENTITÄT_beweisen:N {22}
a551:h:VERBANNUNG:rHD_rVB_fHD {22}
a551:F:ZURÜCKZIEHEN_beheben:rHH_rVB {22}
a551:H:VERMISSEN_der_Angehörige_beheben:rHD_rHH {22}
a551:H:Auf_VORTÄUSCHEN_reagieren:rHD_rAN {22}
a551:H:IDENTITÄT_beweisen:rHD_rBZ {23}
a551:H:KONTAKT_wiederherstellen:N {23}
a551:H:Wechsel_der_IDENTITÄT_eingestehen:rHD_rHH_rVB {23}
a551:H:FREIHEITSBERAUBUNG_beheben:rHD_rAN {23}
a551:H:SCHWEIGEPFLICHT_verhängen:rHD_rVB_fHD {23}
a551:H:KONTAKT_wiederherstellen:rHD_rBZ {23}
a551:H:VERMISSEN_der_Angehörige_beheben:rHD_fHD {24}
a551:Hh:HEILMITTEL_besorgen:rHH_rZO_fHD {24}
a551:H:Heiraten:N {24}
a551:H:ZURÜCKZIEHEN_beheben:rHD_rHH_rVB {24}
a551:h:SCHLAF:rHD {25}
a551:F:IDENTITÄT_beweisen:rHD_rBZ {25}
a551:H:Bestrafung:N {25}
a551:h:KRANKHEIT_beheben:rHH_rZO_fHD {25}
End-a551:H:Bestrafung:N {26}
